This is first line
2019-03-16 12:31:52 status half-configured libpam-systemd:amd64 237-3ubuntu10.13
2019-03-16 12:31:52 status unpacked libpam-systemd:amd64 237-3ubuntu10.13
2019-03-16 12:31:52 status half-installed libpam-systemd:amd64 237-3ubuntu10.13
2019-03-16 12:31:52 status half-installed libpam-systemd:amd64 237-3ubuntu10.13
2019-03-16 12:31:52 status unpacked libpam-systemd:amd64 237-3ubuntu10.15
2019-03-16 12:31:52 status unpacked libpam-systemd:amd64 237-3ubuntu10.15
2019-03-16 12:31:53 upgrade libnss-myhostname:amd64 237-3ubuntu10.13 237-3ubuntu10.15
2019-03-16 12:31:53 status half-configured libnss-myhostname:amd64 237-3ubuntu10.13
2019-03-16 12:31:53 status unpacked libnss-myhostname:amd64 237-3ubuntu10.13
2019-03-16 12:31:53 status half-installed libnss-myhostname:amd64 237-3ubuntu10.13
2019-03-16 12:31:53 status half-installed libnss-myhostname:amd64 237-3ubuntu10.13
2019-03-16 12:31:53 status unpacked libnss-myhostname:amd64 237-3ubuntu10.15
2019-03-16 12:31:53 status unpacked libnss-myhostname:amd64 237-3ubuntu10.15
2019-03-16 12:31:54 upgrade systemd:amd64 237-3ubuntu10.13 237-3ubuntu10.15
2019-03-16 12:31:54 status half-configured systemd:amd64 237-3ubuntu10.13
2019-03-16 12:31:54 status unpacked systemd:amd64 237-3ubuntu10.13
2019-03-16 12:31:54 status half-installed systemd:amd64 237-3ubuntu10.13
2019-03-16 12:31:54 status triggers-pending ureadahead:amd64 0.100.0-20
2019-03-16 12:31:55 status triggers-pending dbus:amd64 1.12.2-1ubuntu1
2019-03-16 12:31:55 status triggers-pending dbus:amd64 1.12.2-1ubuntu1
2019-03-16 12:31:55 status half-installed systemd:amd64 237-3ubuntu10.13
2019-03-16 12:31:56 status unpacked systemd:amd64 237-3ubuntu10.15
2019-03-16 12:31:56 status unpacked systemd:amd64 237-3ubuntu10.15
2019-03-16 12:31:57 upgrade udev:amd64 237-3ubuntu10.13 237-3ubuntu10.15
2019-03-16 12:31:57 status half-configured udev:amd64 237-3ubuntu10.13
2019-03-16 12:31:57 status unpacked udev:amd64 237-3ubuntu10.13
2019-03-16 12:31:57 status half-installed udev:amd64 237-3ubuntu10.13
2019-03-16 12:31:58 status half-installed udev:amd64 237-3ubuntu10.13
2019-03-16 12:31:59 status unpacked udev:amd64 237-3ubuntu10.15
2019-03-16 12:32:00 status unpacked udev:amd64 237-3ubuntu10.15
2019-03-16 12:32:00 upgrade libudev1:amd64 237-3ubuntu10.13 237-3ubuntu10.15
2019-03-16 12:32:00 status half-configured libudev1:amd64 237-3ubuntu10.13
